1.0E+00	1.0000E+00
2.0E+00	9.9970E-01 
3.0E+00	9.9901E-01 
5.0E+00	9.9791E-01 
7.0E+00	9.9685E-01 
1.0E+01	9.9506E-01 
1.5E+01	9.9242E-01 
2.0E+01	9.8978E-01 
2.5E+01	9.8713E-01 
3.0E+01	9.8449E-01 
4.0E+01	9.7921E-01 
5.0E+01	9.7514E-01 
6.0E+01	9.7107E-01 
7.0E+01	9.6725E-01
8.0E+01	9.6359E-01 
1.0E+02	9.5725E-01 
1.2E+02	9.5302E-01 
1.4E+02	9.5074E-01 
1.6E+02	9.4993E-01 
1.8E+02	9.5155E-01 
2.0E+02	9.5481E-01 
2.5E+02	9.7189E-01 
3.0E+02	1.0016E+00 
3.5E+02	1.0376E+00 
4.0E+02	1.0784E+00 
5.0E+02	1.1732E+00 
